GeneID	ExpectedReadCount	TPM
Gene00881	1510	54.46
Gene00882	391	20.23
Gene00883	0	0
Gene00884	779	36.07
Gene00885	212	36.61
Gene00886	1	0.04
Gene00887	625	63.71
Gene00888	2426	119.11
Gene00889	975	45.78
Gene00890	1	0.21
Gene00891	7	0.51
Gene00892	55	46.43
Gene00893	532	25.21
Gene00894	127	13.23
Gene00895	0	0
Gene00896	73	47.48
Gene00897	11	3.49
Gene00898	3	0.2
Gene00899	40	0.94
Gene00900	0	0
Gene00901	2	0.82
Gene00902	399	25.22
Gene00903	125	10.37
Gene00904	66	71.42
Gene00905	151	8.2
Gene00906	0	0
Gene00907	0	0
Gene00908	98	29.8
Gene00909	2	4.96
Gene00910	0	0
Gene00911	5	4.85
Gene00912	28602	1197.68
Gene00913	585.39	14.66
Gene00914	25.61	4.01
Gene00915	153	20.86
Gene00916	32	4.49
Gene00917	0	0
Gene00918	217	23.51
Gene00919	43	10.19
Gene00920	15	42.06
Gene00921	12	1.27
Gene00922	1411	187.45
Gene00923	8	1.29
Gene00924	1	12.93
Gene00925	338	13.97
Gene00926	15	3.27
Gene00927	15	2.75
Gene00928	8830	1493.26
Gene00929	22	8.93
Gene00930	105	14.92
Gene00931	19	1.22
Gene00932	5	0.71
Gene00933	52	3.51
Gene00934	367	26.46
Gene00935	76	9.91
Gene00936	0	0
Gene00937	24	5.48
Gene00938	7	0.68
Gene00939	31	1.98
Gene00940	85	3.7
Gene00941	253	37.65
Gene00942	3	0.48
Gene00943	86	4.57
Gene00944	6	1.58
Gene00945	1	1.02
Gene00946	461	16.01
Gene00947	85	15.73
Gene00948	630	25.9
Gene00949	37	5.34
Gene00950	15	1.09
Gene00951	0	0
Gene00952	2	0.2
Gene00953	16.5	2.52
Gene00954	16.5	2.52
Gene00955	1	0.35
Gene00956	0	0
Gene00957	81	3.83
Gene00958	1163	47.04
Gene00959	113	15.3
Gene00960	4	6.38
Gene00961	451	25.61
Gene00962	347	16.09
Gene00963	54	4.99
Gene00964	6	0.19
Gene00965	0	0
