GeneID	ExpectedReadCount	TPM
Gene00715	0	0
Gene00716	1208	105.27
Gene00717	0	0
Gene00718	15	1.76
Gene00719	0	0
Gene00720	5	1.36
Gene00721	123	17.28
Gene00722	40	31.09
Gene00723	0	0
Gene00724	41	7.1
Gene00725	94	27.5
Gene00726	1.18	0.18
Gene00727	4.84	2.58
Gene00728	0	0
Gene00729	682	58.82
Gene00730	0	0
Gene00731	529.34	29.01
Gene00732	88	6.69
Gene00733	15.9	4.4
Gene00734	681	49.31
Gene00735	152	5.36
Gene00736	4	0.62
Gene00737	345	47.01
Gene00738	76	11.32
Gene00739	20	6.01
Gene00740	114	21.68
Gene00741	6	40.02
Gene00742	0	0
Gene00743	0	0
Gene00744	124	15.43
Gene00745	0	0
Gene00746	517	18.09
Gene00747	2601	82.84
Gene00748	845	1290.29
Gene00749	0	0
Gene00750	57	6.52
Gene00751	125	11.29
Gene00752	62	9.55
Gene00753	38	3.56
Gene00754	163	6.07
Gene00755	129	52.31
Gene00756	147	15.1
Gene00757	431	18.65
Gene00758	21	1.71
Gene00759	142	71.29
Gene00760	0	0
Gene00761	2	3.4
Gene00762	6	2.81
Gene00763	6	1
Gene00764	1	0.11
Gene00765	0	0
Gene00766	0	0
Gene00767	0	0
Gene00768	274.31	17.98
Gene00769	6	0.39
Gene00770	2	0.16
Gene00771	239	29.68
Gene00772	0	0
Gene00773	126	25.95
Gene00774	0	0
Gene00775	0	0
Gene00776	0	0
Gene00777	1	0.04
Gene00778	733	34.37
Gene00779	130	10.47
Gene00780	478	55.37
Gene00781	39	21.08
Gene00782	233	10.02
Gene00783	487	46.02
Gene00784	6	10.38
Gene00785	21	4.55
Gene00786	13	11.65
Gene00787	432	40.31
Gene00788	126	18.72
Gene00789	190	20.1
Gene00790	9	2.42
Gene00791	0	0
Gene00792	408	30.91
Gene00793	0	0
Gene00794	68	25.19
Gene00795	54	27.7
Gene00796	0	0
Gene00797	39	10.18
Gene00798	41	1.07
Gene00799	0	0
Gene00800	3322	356.52
Gene00801	4	0.79
Gene00802	1117	97.47
Gene00803	406	114.8
Gene00804	154	12.33
Gene00805	137	14.63
Gene00806	7	0.62
Gene00807	14	3.45
Gene00808	386	17.8
Gene00809	0	0
Gene00810	52	5.58
Gene00811	49	8.23
Gene00812	338	166.13
Gene00813	0	0
Gene00814	0	0
Gene00815	0	0
Gene00816	10	3.69
Gene00817	0	0
Gene00818	24	1.36
Gene00819	2	0.47
Gene00820	13	2.4
Gene00821	10	0.5
Gene00822	54.64	9.36
Gene00823	4.36	2.55
Gene00824	4.48	0.33
Gene00825	3	0.3
Gene00826	50	15.15
Gene00827	217	61.61
Gene00828	2	0.14
Gene00829	48	13.29
Gene00830	0	0
Gene00831	163	18.62
Gene00832	1	0.72
Gene00833	18	11.16
Gene00834	5	1.8
Gene00835	0	0
Gene00836	369	37.79
Gene00837	3	0.33
Gene00838	8	1.06
Gene00839	0	0
Gene00840	1942	75.92
Gene00841	9	1.34
Gene00842	1251	28.66
Gene00843	0	0
Gene00844	0	0
Gene00845	47	9.42
Gene00846	64	9.28
Gene00847	116	11.21
Gene00848	271	10.91
Gene00849	0	0
Gene00850	0	0
Gene00851	91	16.79
Gene00852	40	2.68
Gene00853	573.37	136.42
Gene00854	1126.63	290.6
Gene00855	3925.05	261.39
Gene00856	696.95	90.21
Gene00857	68	20.06
Gene00858	2	6.15
Gene00859	0	0
Gene00860	6	10.77
Gene00861	240	19.15
Gene00862	0	0
Gene00863	413	32.27
Gene00864	198	20.95
Gene00865	189	21.09
Gene00866	889.12	110.2
Gene00867	2	0.08
Gene00868	0	0
Gene00869	17	3.62
Gene00870	77	12.61
Gene00871	139	15.75
Gene00872	106	8
Gene00873	119	27.92
Gene00874	0	0
Gene00875	0	0
Gene00876	2	0.5
Gene00877	88	28.99
Gene00878	215	36.01
Gene00879	52	3.5
Gene00880	0	0
Gene00881	1183	50.32
Gene00882	319	19.45
Gene00883	0	0
Gene00884	652	35.59
Gene00885	130	26.37
Gene00886	8	0.4
Gene00887	496	59.5
Gene00888	1886	109.16
Gene00889	839	46.44
Gene00890	0	0
Gene00891	13	1.12
Gene00892	36	36.88
Gene00893	435	24.3
Gene00894	106	12.99
Gene00895	0	0
Gene00896	57	44.3
Gene00897	12	4.47
Gene00898	2	0.15
Gene00899	45	1.25
Gene00900	0	0
Gene00901	0	0
Gene00902	300	22.35
Gene00903	107	10.45
Gene00904	25	33.5
Gene00905	133	8.51
Gene00906	0	0
Gene00907	0	0
Gene00908	68	24.27
Gene00909	0	0
Gene00910	0	0
Gene00911	7	8.32
Gene00912	24044	1187.18
Gene00913	451.94	13.35
Gene00914	11.06	2.04
Gene00915	152	24.36
Gene00916	20	3.3
Gene00917	0	0
Gene00918	187	23.84
Gene00919	16	4.45
Gene00920	7	27.78
Gene00921	6	0.75
Gene00922	882	137.77
Gene00923	5	0.95
Gene00924	0	0
Gene00925	317	15.45
Gene00926	19	4.86
Gene00927	9	1.94
Gene00928	6928	1376.16
Gene00929	19	9.08
Gene00930	90	15.04
Gene00931	18	1.36
Gene00932	7	1.18
Gene00933	50	3.98
Gene00934	264	22.42
Gene00935	40	6.13
Gene00936	0	0
Gene00937	16	4.29
Gene00938	8	0.91
Gene00939	20	1.5
Gene00940	60	3.08
Gene00941	221	38.65
Gene00942	1	0.19
Gene00943	59	3.69
Gene00944	0	0
Gene00945	0	0
Gene00946	429	17.57
Gene00947	72	15.64
Gene00948	410	19.88
Gene00949	13	2.2
Gene00950	11	0.95
Gene00951	0	0
Gene00952	10	1.18
Gene00953	21	3.77
Gene00954	21	3.77
Gene00955	0	0
Gene00956	0	0
Gene00957	80.33	4.48
Gene00958	1163	55.47
Gene00959	74	11.78
Gene00960	3	6.19
Gene00961	393	26.3
Gene00962	289	15.8
Gene00963	50	5.44
Gene00964	6	0.23
Gene00965	0	0
Gene00966	0	0
Gene00967	9	3.55
Gene00968	491	222.55
Gene00969	82	28.97
Gene00970	46	11.18
Gene00971	4	0.18
Gene00972	12	2.06
