GeneID	ExpectedReadCount	TPM
Gene00861	281	17.03
Gene00862	0	0
Gene00863	366	21.72
Gene00864	252	20.21
Gene00865	268	22.66
Gene00866	923.58	86.64
Gene00867	1	0.03
Gene00868	0	0
Gene00869	31	4.97
Gene00870	98	12.11
Gene00871	171	14.67
Gene00872	207	11.87
Gene00873	161	28.35
Gene00874	0	0
Gene00875	0	0
Gene00876	8	1.5
Gene00877	341	83.73
Gene00878	303	38.28
Gene00879	71.15	3.64
Gene00880	0	0
Gene00881	1487	48.17
Gene00882	389	18.04
Gene00883	0	0
Gene00884	700	29.08
Gene00885	199	30.36
Gene00886	9	0.34
Gene00887	736	66.85
Gene00888	2511	110.57
Gene00889	907	38.2
Gene00890	1	0.19
Gene00891	11	0.72
Gene00892	54	39.89
Gene00893	563	23.93
Gene00894	131	12.16
Gene00895	0	0
Gene00896	80	45.24
Gene00897	19	5.26
Gene00898	5	0.29
Gene00899	26	0.55
Gene00900	0	0
Gene00901	1	0.36
Gene00902	445	25.19
Gene00903	137	10.15
Gene00904	39	37.34
Gene00905	135	6.57
Gene00906	0	0
Gene00907	0	0
Gene00908	113	30.01
Gene00909	2	4.74
Gene00910	0	0
Gene00911	5	4.27
Gene00912	19042	715.77
Gene00913	647.39	14.58
Gene00914	14.61	2.02
Gene00915	149	18.03
Gene00916	22	2.74
Gene00917	0	0
Gene00918	297	28.65
Gene00919	37	7.7
Gene00920	13	35.47
Gene00921	10	0.94
Gene00922	1295	152.71
Gene00923	4	0.57
Gene00924	1	16.78
Gene00925	404	14.99
Gene00926	13	2.49
Gene00927	14	2.26
Gene00928	7710	1152.48
Gene00929	26	9.18
Gene00930	99	12.48
Gene00931	15	0.86
Gene00932	5	0.63
Gene00933	1	0.06
Gene00934	398	25.67
Gene00935	84	9.73
Gene00936	21	4.27
Gene00937	0	0
Gene00938	13	1.12
Gene00939	15	0.86
Gene00940	138	5.39
Gene00941	234	30.85
Gene00942	4	0.57
Gene00943	96	4.57
Gene00944	0	0
Gene00945	0	0
Gene00946	676	21.09
Gene00947	105	17.14
Gene00948	639	23.59
Gene00949	18	2.3
Gene00950	16	1.04
Gene00951	0	0
Gene00952	11	0.98
Gene00953	19.5	2.64
Gene00954	19.5	2.64
Gene00955	0	0
Gene00956	0	0
Gene00957	184.29	7.83
