GeneID	ExpectedReadCount	TPM
Gene00619	0	0
Gene00620	4	0.91
Gene00621	56	29.88
Gene00622	38	11.34
Gene00623	0	0
Gene00624	0	0
Gene00625	80	4.48
Gene00626	5	3.31
Gene00627	90	8.63
Gene00628	137	18.05
Gene00629	932	228.69
Gene00630	0	0
Gene00631	47	7.43
Gene00632	41	46.45
Gene00633	40	32.24
Gene00634	21	9.01
Gene00635	60	35.22
Gene00636	0	0
Gene00637	67	3.28
Gene00638	177	8.31
Gene00639	81	32
Gene00640	0	0
Gene00641	4	0.3
Gene00642	62	11.59
Gene00643	32	5.94
Gene00644	14	2.04
Gene00645	0	0
Gene00646	27	5.86
Gene00647	289	106.74
Gene00648	3	0.9
Gene00649	120	26.47
Gene00650	865	27.79
Gene00651	271	12.34
Gene00652	0	0
Gene00653	94.54	3.99
Gene00654	22	0.94
Gene00655	451	67.84
Gene00656	12.46	0.99
Gene00657	18.67	0.8
Gene00658	1.86	0.24
Gene00659	0	0
Gene00660	9	6.15
Gene00661	32	3.4
Gene00662	10	5.3
Gene00663	0	0
Gene00664	15	20.12
Gene00665	105	18.49
Gene00666	73	16.38
Gene00667	15	4.73
Gene00668	457.66	45.43
Gene00669	119	14.2
Gene00670	0	0
Gene00671	300.67	29.18
Gene00672	94	20.22
Gene00673	180	59.3
Gene00674	0	0
Gene00675	232	20.74
Gene00676	4	0.81
Gene00677	37	9.91
Gene00678	86	10.52
Gene00679	0	0
Gene00680	0	0
Gene00681	8	9.53
Gene00682	0	0
Gene00683	86	13.27
Gene00684	22	22.69
Gene00685	54	5.69
Gene00686	0	0
Gene00687	215	18.99
Gene00688	99.68	15.32
Gene00689	1062	24.33
Gene00690	333	41.31
Gene00691	0	0
Gene00692	333	62.56
Gene00693	1	0.35
Gene00694	0	0
Gene00695	63	11.48
Gene00696	0	0
Gene00697	26	8.75
Gene00698	693	139.9
Gene00699	0	0
Gene00700	0.79	2.62
Gene00701	49	5.61
Gene00702	99	9.03
Gene00703	0	0
Gene00704	11	28.9
Gene00705	0	0
Gene00706	320	20.85
Gene00707	9	1.36
Gene00708	86	10.53
Gene00709	25	2.11
Gene00710	5193.75	247.69
Gene00711	98	13.38
Gene00712	98	21.2
Gene00713	783	155.67
Gene00714	34	59.94
Gene00715	0	0
