GeneID	ExpectedReadCount	TPM
Gene00771	297	30.46
Gene00772	0	0
Gene00773	192	32.51
Gene00774	0	0
Gene00775	0	0
Gene00776	0	0
Gene00777	1	0.04
Gene00778	939	36.52
Gene00779	134	8.94
Gene00780	484	46.32
Gene00781	46	20.14
Gene00782	315	11.23
Gene00783	652	50.96
Gene00784	2	2.74
Gene00785	20	3.56
Gene00786	14	10.06
Gene00787	460	35.51
Gene00788	142	17.4
Gene00789	220	19.24
Gene00790	4	0.88
Gene00791	0	0
Gene00792	412	25.84
Gene00793	0	0
Gene00794	78	23.58
Gene00795	71	29.54
Gene00796	0	0
Gene00797	69	14.76
Gene00798	101	2.19
Gene00799	0	0
Gene00800	4782	424.22
Gene00801	7	1.14
Gene00802	1580	114.09
Gene00803	540	125.07
Gene00804	274	18.16
Gene00805	244	21.54
Gene00806	1	0.07
Gene00807	20	4.05
Gene00808	11	0.42
Gene00809	0	0
Gene00810	84	7.45
Gene00811	61	8.44
Gene00812	1564	623.97
Gene00813	0	0
Gene00814	1	0.04
Gene00815	0	0
Gene00816	7	2.1
Gene00817	0	0
Gene00818	5	0.24
Gene00819	4	0.77
Gene00820	28	4.26
Gene00821	13	0.54
Gene00822	61.59	8.69
Gene00823	2.41	1.14
Gene00824	11.35	0.69
Gene00825	5.23	0.44
Gene00826	66	16.36
Gene00827	333	77.45
Gene00828	2	0.11
Gene00829	61	13.84
Gene00830	0	0
Gene00831	233	22
Gene00832	2	1.16
Gene00833	28	14.03
Gene00834	7	2.06
Gene00835	1	0.74
Gene00836	468	39.63
Gene00837	6	0.55
Gene00838	10	1.09
Gene00839	1	0
Gene00840	1323	42.91
Gene00841	8	0.98
Gene00842	1686	32.07
Gene00843	0	0
Gene00844	0	0
Gene00845	65	10.72
Gene00846	93	11.13
Gene00847	131	10.47
Gene00848	276	9.22
Gene00849	0	0
Gene00850	0	0
Gene00851	143	21.72
Gene00852	25	1.39
Gene00853	2043.3	399.13
Gene00854	3657.7	773.78
Gene00855	2965.04	163.58
Gene00856	548.96	58.66
Gene00857	64	15.46
Gene00858	4	9.67
Gene00859	3	11.71
Gene00860	12	17.06
Gene00861	281	18.56
Gene00862	0	0
Gene00863	417	26.97
Gene00864	213	18.63
Gene00865	231	21.3
Gene00866	364.09	37.27
Gene00867	2	0.06
Gene00868	0	0
Gene00869	27	4.73
Gene00870	135	18.23
Gene00871	144	13.48
Gene00872	147	9.19
Gene00873	190	36.6
Gene00874	0	0
Gene00875	0	0
Gene00876	21	4.31
Gene00877	304	81.84
Gene00878	281	38.78
Gene00879	105.29	5.87
Gene00880	0	0
Gene00881	1368	48.26
Gene00882	343	17.33
Gene00883	0	0
Gene00884	718	32.49
Gene00885	180	30.03
Gene00886	2	0.08
Gene00887	699	69.27
Gene00888	2382	114.27
Gene00889	920	42.21
Gene00890	2	0.41
Gene00891	2	0.14
Gene00892	68	55.72
Gene00893	448	20.74
Gene00894	122	12.35
Gene00895	0	0
Gene00896	68	42.51
Gene00897	20	6.08
Gene00898	2	0.13
Gene00899	33	0.76
Gene00900	0	0
Gene00901	3	1.17
Gene00902	438	27.02
Gene00903	120	9.69
Gene00904	24	25.6
Gene00905	170	9.01
Gene00906	0	0
Gene00907	0	0
Gene00908	78	22.73
Gene00909	3	8.08
Gene00910	0	0
Gene00911	2	1.9
Gene00912	18214	745.7
Gene00913	692.37	16.98
Gene00914	22.63	3.43
Gene00915	207	27.35
Gene00916	17	2.31
Gene00917	0	0
Gene00918	165	17.37
Gene00919	44	10.03
Gene00920	19	59.21
Gene00921	10	1.03
Gene00922	1375	177.07
Gene00923	4	0.62
Gene00924	1	21.49
Gene00925	279	11.27
Gene00926	14	2.94
Gene00927	16	2.83
Gene00928	8672	1417.07
Gene00929	21	8.15
Gene00930	91	12.53
Gene00931	12	0.75
Gene00932	8	1.11
Gene00933	1	0.07
Gene00934	393	27.63
Gene00935	104	13.15
Gene00936	0	0
Gene00937	18	3.96
Gene00938	1	0.09
Gene00939	16	0.99
Gene00940	70	2.98
Gene00941	229	32.99
Gene00942	8	1.24
Gene00943	78	4.05
Gene00944	2	0.5
Gene00945	0	0
Gene00946	677	23
Gene00947	106	18.92
Gene00948	555	22.31
Gene00949	29	4.05
Gene00950	13	0.92
Gene00951	0	0
Gene00952	5	0.49
Gene00953	23.5	3.47
Gene00954	23.5	3.47
Gene00955	0	0
Gene00956	0	0
Gene00957	41.17	1.9
Gene00958	830	32.83
Gene00959	109	14.3
Gene00960	6	9.79
Gene00961	458	25.39
Gene00962	203	9.2
Gene00963	52	4.67
Gene00964	1	0.03
Gene00965	0	0
Gene00966	1	0.34
Gene00967	19	6.1
Gene00968	1086	400.14
Gene00969	86	24.81
Gene00970	65	12.97
Gene00971	4	0.15
Gene00972	16	2.26
Gene00973	384	35.47
Gene00974	0	0
Gene00975	8	2.72
Gene00976	306	38.26
Gene00977	25	3.21
Gene00978	12	2.04
Gene00979	4	0.1
Gene00980	134	22.9
Gene00981	12	10.09
Gene00982	0	0
Gene00983	25	7.28
Gene00984	297	75.63
Gene00985	198	12.5
Gene00986	23	1.77
Gene00987	0	0
Gene00988	0	0
Gene00989	2354	5018.58
Gene00990	2	0.22
Gene00991	92	35.96
Gene00992	11	1.9
Gene00993	236	11.06
Gene00994	52	2.1
Gene00995	307	20.95
Gene00996	334	59.06
Gene00997	49	8.92
Gene00998	0	0
Gene00999	2	0.74
Gene01000	204	16.01
Gene01001	29	7.32
Gene01002	213	14.19
Gene01003	210	14.16
Gene01004	1.73	0.47
Gene01005	27.27	3.02
Gene01006	280	40.54
Gene01007	36.42	1.44
Gene01008	2	10.08
Gene01009	44	5.9
Gene01010	0	0
Gene01011	6	0.39
Gene01012	75	34.38
Gene01013	3	1.93
Gene01014	6	0.21
Gene01015	3	3.46
Gene01016	0	0
Gene01017	39	1.16
Gene01018	16	0.56
Gene01019	165	12.6
Gene01020	26	1.61
Gene01021	0	0
Gene01022	375.74	14.84
Gene01023	370	16.15
Gene01024	0	0
Gene01025	2	0.1
Gene01026	114	6.2
Gene01027	0	0
Gene01028	0	0
Gene01029	0	0
Gene01030	208	11.66
Gene01031	195	17.06
Gene01032	2	95.92
Gene01033	89	31.58
Gene01034	0	0
Gene01035	93.3	3.36
Gene01036	3.17	0.57
Gene01037	95	9.85
Gene01038	200	14.11
Gene01039	22	1.18
Gene01040	384	18.17
Gene01041	2	0.08
Gene01042	456	36.05
Gene01043	0	0
Gene01044	31	20.41
Gene01045	167	15.33
Gene01046	27	6.52
Gene01047	24	8.07
Gene01048	199.58	68.28
Gene01049	152	27.76
Gene01050	18	3.21
Gene01051	3	0.94
Gene01052	13	8.65
Gene01053	22	17.58
Gene01054	841	76.43
Gene01055	4	1.53
Gene01056	2	3.4
Gene01057	0	0
Gene01058	167	11.31
Gene01059	55	13.52
Gene01060	5	0.34
Gene01061	0	0
Gene01062	31	2.43
Gene01063	132	19.36
Gene01064	1225	104.21
Gene01065	394	28.97
Gene01066	33	19.26
Gene01067	1	0.62
Gene01068	0	0
Gene01069	201	18.27
Gene01070	0	0
Gene01071	0	0
Gene01072	199	18.03
Gene01073	147	28.03
Gene01074	154	18.2
Gene01075	89	18.69
Gene01076	10	2.37
Gene01077	35	1.69
Gene01078	44	1.33
Gene01079	80	50.01
Gene01080	0	0
Gene01081	0	0
Gene01082	543	48.4
Gene01083	85	7.21
Gene01084	0	0
Gene01085	393	36.79
Gene01086	2228	69.17
Gene01087	672	97.81
Gene01088	2	0.11
Gene01089	19	2.59
Gene01090	343	17.25
Gene01091	0	0
Gene01092	741	27.17
Gene01093	0	0
Gene01094	28	13.91
Gene01095	0	0
Gene01096	0	0
Gene01097	1.25	0.34
Gene01098	0.75	0.81
Gene01099	233	18.95
Gene01100	0	0
Gene01101	6	1.94
Gene01102	0	0
Gene01103	219.39	29.2
Gene01104	0	0
Gene01105	304	29.04
Gene01106	0	0
Gene01107	8	0.27
Gene01108	244	40.22
Gene01109	186	19.76
Gene01110	0	0
Gene01111	454	30.57
Gene01112	53	5.67
Gene01113	17	3.81
Gene01114	68	16.29
Gene01115	27	1.17
Gene01116	195.29	15.89
Gene01117	0	0
Gene01118	106	7.69
Gene01119	277	13.44
Gene01120	331	13.38
Gene01121	12	1.42
Gene01122	6	1.21
Gene01123	686	19.55
Gene01124	147	21.56
Gene01125	379	16.53
Gene01126	0	0
Gene01127	100	6.88
Gene01128	86	3.65
Gene01129	0	0
Gene01130	116	41.94
Gene01131	0	0
Gene01132	0	0
Gene01133	0	0
Gene01134	17	14.47
Gene01135	20	5.14
Gene01136	0	0
Gene01137	2	0.08
Gene01138	63	21.55
Gene01139	242	39.32
Gene01140	1057	525.18
Gene01141	133	5.43
Gene01142	1592	59.11
Gene01143	824	153.47
Gene01144	38	39.91
Gene01145	0	0
Gene01146	10	0.84
Gene01147	424	24.71
Gene01148	743	43.07
Gene01149	29	4.79
Gene01150	402	39.01
Gene01151	45	8.06
Gene01152	0	0
Gene01153	1	0.27
Gene01154	793	43.24
Gene01155	27	3.25
Gene01156	59	24.2
Gene01157	191	9.25
Gene01158	1409	88.08
Gene01159	252	8.26
Gene01160	42	3.49
Gene01161	0	0
Gene01162	0	0
Gene01163	0	0
Gene01164	0	0
Gene01165	56	9.12
Gene01166	4	0.78
Gene01167	249	15.57
Gene01168	29	1.31
Gene01169	200	11.38
Gene01170	120	10.85
Gene01171	28	3.22
Gene01172	0	0
Gene01173	10	0.77
Gene01174	6	6.3
Gene01175	170	35.43
Gene01176	0	0
Gene01177	22	6.91
Gene01178	221	31.27
Gene01179	90	4.05
Gene01180	0	0
Gene01181	0	0
Gene01182	338	20.94
Gene01183	1	0.21
Gene01184	57	10.72
Gene01185	0	0
Gene01186	162	12.97
Gene01187	28	3.64
Gene01188	149	23.13
Gene01189	528	16.47
Gene01190	72	21.31
Gene01191	337	29.66
Gene01192	2270	136.85
Gene01193	480	64.8
Gene01194	23	1.01
Gene01195	103	18.27
Gene01196	15	1.59
Gene01197	53	3.77
